--bus section
i, v, theta, b
1,1.0595703125,-0.0162540171295,-15.0000009537
2,1.04499995708,-0.0870733633637,0.0
3,1.00999999046,-0.209496989846,0.0
4,1.01078796387,-0.152215182781,0.0
5,1.01605546474,-0.12465659529,0.0
6,1.03967905045,-0.138481110334,-25.0
7,1.0194413662,-0.186335980892,0.0
8,1.01628518105,-0.186335980892,-25.0
9,1.0144892931,-0.204619899392,0.0
10,1.01037859917,-0.198217123747,0.0
11,1.02029621601,-0.17094399035,0.0
12,1.02395308018,-0.158069446683,0.0
13,1.01708269119,-0.163161456585,0.0
14,0.996507167816,-0.205350607634,0.0
--generator section
i, uid, p, q
1,1 ,183.396240234,10.0
2,1 ,30.1477737427,47.6379432678
3,1 ,0.0,29.6685791016
6,1 ,55.5817527771,24.0
8,1 ,0.0,24.0
